Time,Traffic Route,Vehicle Type,Count
08:15,C2D,MCL,0
08:15,C2D,CAR,37
08:15,C2D,TAXI,0
08:15,C2D,LGV,0
08:15,C2D,OGV1,0
08:15,C2D,OGV2,0
08:15,C2D,CDB,0
08:15,C2D,BEB,0
08:15,C2D,OB,0
08:15,C2D,TOT,37
08:15,C2D,PCU,37
08:15,D2A,PCL,0
08:15,D2A,MCL,0
08:15,D2A,CAR,36
08:15,D2A,TAXI,0
08:15,D2A,LGV,14
08:15,D2A,OGV1,2
08:15,D2A,OGV2,1
08:15,D2A,CDB,0
08:15,D2A,BEB,0
08:15,D2A,OB,1
08:15,D2A,TOT,54
08:15,D2A,PCU,57.3
08:15,D2B,PCL,0
08:15,D2B,MCL,0
08:15,D2B,CAR,0
08:15,D2B,TAXI,0
08:15,D2B,LGV,0
08:15,D2B,OGV1,0
08:15,D2B,OGV2,0
08:15,D2B,CDB,0
08:15,D2B,BEB,0
08:15,D2B,OB,0
08:15,D2B,TOT,0
08:15,D2B,PCU,0
08:15,D2C,PCL,1
08:15,D2C,MCL,0
08:15,D2C,CAR,16
08:15,D2C,TAXI,0
08:15,D2C,LGV,1
08:15,D2C,OGV1,0
08:15,D2C,OGV2,0
08:15,D2C,CDB,0
08:15,D2C,BEB,0
08:15,D2C,OB,0
08:15,D2C,TOT,18
08:15,D2C,PCU,17.1
08:30,A2B,PCL,0
08:30,A2B,MCL,0
08:30,A2B,CAR,0
08:30,A2B,TAXI,0
08:30,A2B,LGV,0
08:30,A2B,OGV1,0
08:30,A2B,OGV2,0
08:30,A2B,CDB,0
08:30,A2B,BEB,0
08:30,A2B,OB,0
08:30,A2B,TOT,0
08:30,A2B,PCU,0
08:30,A2C,PCL,0
08:30,A2C,MCL,0
08:30,A2C,CAR,1
08:30,A2C,TAXI,0
08:30,A2C,LGV,0
08:30,A2C,OGV1,0
08:30,A2C,OGV2,0
08:30,A2C,CDB,0
08:30,A2C,BEB,0
08:30,A2C,OB,0
08:30,A2C,TOT,1
08:30,A2C,PCU,1
08:30,A2D,PCL,0
08:30,A2D,MCL,0
08:30,A2D,CAR,3
08:30,A2D,TAXI,0
08:30,A2D,LGV,0
08:30,A2D,OGV1,0
08:30,A2D,OGV2,0
08:30,A2D,CDB,0
08:30,A2D,BEB,0
08:30,A2D,OB,0
08:30,A2D,TOT,3
08:30,A2D,PCU,3
08:30,B2A,PCL,2
08:30,B2A,MCL,0
08:30,B2A,CAR,3
08:30,B2A,TAXI,0
08:30,B2A,LGV,2
08:30,B2A,OGV1,0
08:30,B2A,OGV2,0
08:30,B2A,CDB,0
08:30,B2A,BEB,0
08:30,B2A,OB,0
08:30,B2A,TOT,7
08:30,B2A,PCU,5.2
08:30,B2C,PCL,1
08:30,B2C,MCL,0
08:30,B2C,CAR,16
08:30,B2C,TAXI,0
08:30,B2C,LGV,2
08:30,B2C,OGV1,0
08:30,B2C,OGV2,0
08:30,B2C,CDB,0
08:30,B2C,BEB,0
08:30,B2C,OB,0
08:30,B2C,TOT,19
08:30,B2C,PCU,18.1
08:30,B2D,PCL,0
08:30,B2D,MCL,0
08:30,B2D,CAR,0
08:30,B2D,TAXI,0
08:30,B2D,LGV,0
